Quadrilateral Vertex Index, Triangle Face Index, Barycentric Coordinates (u v w)
0, 51, 0.2095640349501519 0.7042929777650376 0.08614298728481044
1, 18, 0.27793725590255236 0.029382525365850867 0.6926802187315968
2, 32, 0.11195019018706043 0.21026730840602462 0.677782501406915
3, 68, 0.12633596277445236 0.5952329269507475 0.27843111027480016
4, 51, 0.6333101054976163 0.31378847447349995 0.05290142002888365
5, 52, 0.13450841873730834 0.13985700556360497 0.7256345756990866
6, 86, 0.35562389375430886 0.19576770053758513 0.44860840570810606
7, 54, 2.5140977608366426 -1.4288586119303843 -0.08523914890625801
8, 91, 0.12163312625369871 0.17653901333723093 0.7018278604090704
9, 40, 0.12371062334468819 0.23709733572186595 0.6391920409334458
10, 66, 0.09741447136724762 0.604432027624534 0.2981535010082184
11, 50, 0.06269849131032368 0.4328052498116815 0.5044962588779949
12, 103, 0.4271348946978526 0.0035837715019995347 0.5692813338001479
13, 88, 0.675846002583811 0.25680438547167933 0.06734961194450974
14, 124, 0.367830586862832 0.1812571401156645 0.4509122730215035
15, 123, 0.4300186260553247 0.08083539734191267 0.4891459766027626
16, 115, 0.03729433681491978 0.469634929671101 0.49307073351397923
17, 90, 0.3357455575476158 0.46906116640446793 0.19519327604791628
18, 93, 0.39411365005992394 0.594923976715867 0.010962373224209026
19, 70, 0.503540684349108 0.39426487229483337 0.10219444335605853
20, 128, 5.581112645632027 -1.4087551510380498 -3.1723574945939768
21, 125, 0.24253739196273394 0.6399778763058717 0.1174847317313944
22, 149, 0.32452710634276055 0.3780645232925112 0.29740837036472817
23, 117, 0.24417344526012436 0.3052015579709361 0.45062499676893947
24, 154, 0.14871970628806186 0.6044668310697431 0.24681346264219506
25, 175, 0.17273820136287155 0.04130282192179693 0.7859589767153315
26, 164, 0.7852645785057 0.21472057400798306 1.4847486317013078e-05
27, 124, 6.545245417986957 -2.221875743979204 -3.323369674007753
28, 153, 0.372287396390359 0.5032991568019686 0.12441344680767244
29, 218, 7.485919860168764e-06 0.9999922146196724 2.994604674718809e-07
