Quadrilateral Vertex: [ x y z ] , Closest Triangle Face Vertices: [ x y z ]
[ 12.2445 -27.4493 802.52  ] , [ 12.4104 -28.446199 802.041016 ] [ 12.8259 -26.4426 802.583984 ] [ 12.0215 -26.584 802.541992 ]
[  6.7865 -27.0632 802.198 ] , [ 6.76697 -26.5229 802.177002 ] [ 6.19977 -27.6381 801.755981 ] [ 7.07879 -28.3799 802.116028 ]
[  9.40022 -29.8017  801.887  ] , [ 9.10929 -30.416901 801.328003 ] [ 9.81883 -29.639099 801.91803 ] [ 8.57848 -29.7505 802.281006 ]
[  9.52836 -24.547   803.14   ] , [ 8.74526 -24.816601 803.221008 ] [ 9.77997 -24.608299 803.052002 ] [ 9.33554 -23.8367 802.862976 ]
[  6.59428 -31.7749  800.438  ] , [ 7.27892 -32.589298 799.947021 ] [ 7.02213 -31.4153 800.203979 ] [ 5.8647 -31.3197 799.594971 ]
[  4.22477 -28.9694  800.633  ] , [ 4.66466 -28.518 801.429016 ] [ 4.11795 -28.365101 801.015015 ] [ 3.97597 -29.547001 800.353027 ]
[  2.02168 -26.4656  800.624  ] , [ 1.49704 -26.518801 800.40802 ] [ 2.09639 -27.0975 800.504028 ] [ 2.10247 -26.4175 801.153015 ]
[  4.19629 -24.6026  802.138  ] , [ 3.49747 -22.8197 801.468994 ] [ 3.48979 -25.6444 802.015991 ] [ 4.41826 -24.666201 802.140991 ]
[ 13.8375 -24.8495 801.283 ] , [ 14.283 -24.907301 801.903992 ] [ 13.7916 -24.0849 801.685974 ] [ 13.2654 -25.565201 802.458008 ]
[  6.3739 -22.3316 802.061 ] , [ 6.87101 -23.7805 802.807983 ] [ 8.42257 -21.8869 801.971985 ] [ 6.3171 -22.3412 802.067017 ]
[ 17.0775 -27.448  800.598 ] , [ 17.209801 -28.0277 800.570007 ] [ 17.880501 -26.8587 800.017029 ] [ 16.882601 -27.27 800.820984 ]
[ 14.4449 -30.2855 801.052 ] , [ 14.6459 -30.673901 801.492004 ] [ 14.9843 -29.777399 801.203003 ] [ 14.1511 -29.9212 801.85199 ]
[ 11.0446 -21.9357 801.416 ] , [ 10.8724 -22.443399 801.372009 ] [ 11.1135 -20.599501 800.754028 ] [ 10.112 -20.531601 801.450012 ]
[  2.36253 -22.0145  801.289  ] , [ 2.90651 -21.438 801.797974 ] [ 2.20469 -22.0159 800.823975 ] [ 3.49747 -22.8197 801.468994 ]
[  4.24428 -20.6408  801.997  ] , [ 4.83191 -21.5772 802.271973 ] [ 5.48636 -20.5277 801.960999 ] [ 3.39392 -20.7328 801.869995 ]
[ 11.5031 -32.7718 800.664 ] , [ 10.665 -31.7932 800.656982 ] [ 11.4681 -33.180599 800.234985 ] [ 12.4091 -31.948799 801.166992 ]
[  7.53357 -19.4907  801.097  ] , [ 8.45826 -20.1649 801.763977 ] [ 8.38147 -19.497101 801.164001 ] [ 7.33179 -19.403999 801.028992 ]
[ 17.0344 -32.8564 799.087 ] , [ 17.3346 -32.550499 800.039978 ] [ 17.3601 -34.660999 799.093018 ] [ 18.0208 -33.485199 799.088989 ]
[ 20.1078 -30.15   799.323 ] , [ 20.2637 -29.893 799.171021 ] [ 19.436399 -29.9174 799.690979 ] [ 19.396601 -30.863501 799.018005 ]
[ 18.4186 -24.7824 798.415 ] , [ 19.077101 -25.482599 798.471985 ] [ 18.8291 -24.562201 797.939026 ] [ 18.1325 -24.691601 799.309998 ]
[ 2.26744e-01 -2.35804e+01  7.99633e+02] , [ 0.023704 -24.3447 800.369995 ] [ -0.65996 -22.6612 799.578003 ] [ -0.67253 -24.906401 799.372986 ]
[ 15.1455 -22.4479 799.103 ] , [ 15.2533 -21.521299 798.692993 ] [ 14.6075 -22.8118 800.041016 ] [ 15.9861 -22.5837 798.299988 ]
[ 11.9185 -19.7306 797.975 ] , [ 12.5478 -19.710899 797.364014 ] [ 11.6077 -18.293699 797.61499 ] [ 11.8665 -19.7815 798.546997 ]
[ 14.0269 -35.1438 798.662 ] , [ 13.9057 -35.4491 798.299988 ] [ 14.89 -34.6688 799.01001 ] [ 14.0842 -34.752102 798.969971 ]
[  1.4095 -19.076  800.267 ] , [ 1.37271 -19.7798 800.35199 ] [ 2.27204 -19.392599 800.844971 ] [ 0.800162 -18.353701 800.317017 ]
[  4.23415 -18.3307  800.934  ] , [ 3.65054 -18.314699 800.585022 ] [ 4.54096 -19.245199 801.203003 ] [ 4.67828 -17.601999 799.679016 ]
[  8.61022 -34.1712  798.937  ] , [ 8.31969 -35.186901 798.534973 ] [ 9.48007 -34.7407 798.66803 ] [ 8.07621 -33.7896 799.348022 ]
[  1.78939 -30.4775  798.594  ] , [ 0.961823 -29.9758 797.434998 ] [ 1.35487 -30.7272 797.655029 ] [ 2.45101 -30.42 798.651978 ]
[ -1.43942 -20.4248  798.774  ] , [ -1.8292 -20.636299 798.629028 ] [ -1.36456 -20.630199 799.257019 ] [ -1.81585 -19.5977 797.932007 ]
